details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_226,RADIANT,Mid-Senior level,1 applicant,Architecture and Planning ,Class1,Infrastructure
dt_227,Genpact,Mid-Senior level,79,Staffing and Recruiting ,Class4,Oracle SCM
dt_228,Sony India Software Centre,Mid-Senior level,69,Banking ,Class2,Office 365
dt_229,MRI Software,Mid-Senior level,100,Staffing and Recruiting ,Class1,Azure Data Factory
dt_230,Intel Corporation,Internship,100,Financial Services ,Class2,Very-Large-Scale Integration (VLSI)
dt_231,Truelancer.com,Mid-Senior level,100,Business Consulting and Services ,Class2,unknown
dt_232,KnowledgeWorks Global Ltd.,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Linux System Administration
dt_233,WN Infotech,Mid-Senior level,100,IT Services and IT Consulting ,Class3,unknown
dt_234,DataE2E Technologies,Mid-Senior level,100,IT Services and IT Consulting ,Class4,unknown
dt_235,Inteliwaves,Mid-Senior level,57,IT Services and IT Consulting ,Class2,unknown
dt_236,Synchrony,Mid-Senior level,1 applicant,Software Development ,Class6,Source to Pay
dt_237,Embee Software Pvt. Ltd.,Entry level,100,IT Services and IT Consulting ,Class1,Microsoft Azure
dt_238,Careernet,Mid-Senior level,8,Information Technology & Services ,Class5,Front-End Development
dt_239,slice,Mid-Senior level,68,Computer Networking ,Class5,Payment Card Industry Data Security Standard (PCI DSS)
dt_240,Tata Consultancy Services,Associate,99,IT Services and IT Consulting ,Class2,Windows Administration
dt_241,H&M,Mid-Senior level,56,Staffing and Recruiting ,Class2,Business Case Preparation
dt_242,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,JavaScript
dt_243,Genpact,Mid-Senior level,100,Staffing and Recruiting ,Class4,Financial Reporting
dt_244,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,DevOps
dt_245,ZARA SA,Mid-Senior level,23,IT Services and IT Consulting ,Class3,unknown
dt_246,SLB,Associate,96,Financial Services ,Class2,Technical Files
dt_247,Allianz Partners,Entry level,39,Pharmaceutical Manufacturing ,Class1,Business Ethics
dt_248,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Azure
dt_249,IKEA,Mid-Senior level,100,Advertising Services ,Class4,Key Account Management
dt_250,Gestamp,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Microsoft Office
dt_251,PeopleLogic,Associate,100,IT Services and IT Consulting ,Class2,Web Application Development
dt_252,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_253,Thomson Reuters,Associate,100,IT Services and IT Consulting ,Class1,Microsoft SQL Server
dt_254,Infosys,Entry level,100,Telecommunications ,Class2,Account Planning
dt_255,Tata Consultancy Services,Mid-Senior level,63,IT Services and IT Consulting ,Class2,1 of 1 skill matches your profile - you may be a good fit
dt_256,Ford Motor Solutions,Mid-Senior level,100,Motor Vehicle Manufacturing ,Class2,Airlines
dt_257,TELUS International AI Data Solutions,Entry level,28,IT Services and IT Consulting ,Class3,English
dt_258,HP,Mid-Senior level,32,Financial Services ,Class2,SAP APO
dt_259,Airtel Payments Bank,Mid-Senior level,35,Airlines and Aviation ,Class2,Back-End Web Development
dt_260,Atos,Mid-Senior level,1 applicant,IT Services and IT Consulting ,Class2,Databases
dt_261,Tata Consultancy Services,Mid-Senior level,82,IT Services and IT Consulting ,Class2,Microsoft Azure
dt_262,Infosys Finacle,Mid-Senior level,100,IT Services and IT Consulting ,Class3,JavaScript
dt_263,Tata Consultancy Services,Mid-Senior level,94,IT Services and IT Consulting ,Class2,Storage Architecture
dt_264,SMC Squared India,Mid-Senior level,14,Software Development ,Class3,ABAP
dt_265,ManipalCigna Health Insurance Company Ltd.,Mid-Senior level,84,Pharmaceutical Manufacturing ,Class2,SQL
dt_266,Tata Consultancy Services,Associate,22,IT Services and IT Consulting ,Class2,Hadoop
dt_267,Unisys,Associate,26,"Technology, Information and Internet ",Class4,Microsoft SQL Server
dt_268,Infosys,Entry level,40,Telecommunications ,Class2,System Requirements
dt_269,Genpact,Associate,100,Staffing and Recruiting ,Class4,English
dt_270,Hitachi Energy,Entry level,67,Business Consulting and Services ,Class2,Cascading Style Sheets (CSS)
dt_271,Deloitte,Director,46,Staffing and Recruiting ,Class4,Goods and Services Tax (GST)
dt_272,Genpact,Mid-Senior level,100,Staffing and Recruiting ,Class4,Programme Governance
dt_273,Syngene International Limited,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Internal Audits
dt_274,Volvo Group,Mid-Senior level,96,IT Services and IT Consulting ,Class3,Trade Compliance
dt_275,GEP Worldwide,Mid-Senior level,100,Manufacturing ,Class2,Analytics
dt_276,Genpact,Entry level,6,Staffing and Recruiting ,Class4,Analytical Skills
dt_277,Tech Mahindra,Mid-Senior level,83,Outsourcing and Offshoring Consulting ,Class2,unknown
dt_278,Premier International,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Data Engineering
dt_279,SurveySparrow,Entry level,100,E-Learning Providers ,Class4,Vulnerability Assessment and Penetration Testing (VAPT)
dt_280,Blenheim Chalcot India,Mid-Senior level,19,"Technology, Information and Internet ",Class4,Back-End Web Development
dt_281,Tata Consultancy Services,Associate,46,IT Services and IT Consulting ,Class2,1 of 1 skill matches your profile - you may be a good fit
dt_282,OYO,Associate,100,Environmental Services ,Class1,Bank Reconciliation
dt_283,ROYALCHEMICALS,Mid-Senior level,41,Retail ,Class2,Office Operations
dt_284,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Microsoft Azure
dt_285,JioSaavn,Associate,100,"Technology, Information and Media ",Class1,Microsoft Excel
dt_286,Goldman Sachs,Mid-Senior level,4,"Technology, Information and Internet ",Class4,NoSQL
dt_287,Isha Foundation,Mid-Senior level,100,IT Services and IT Consulting ,Class1,unknown
dt_288,Lepton Software,Executive,100,IT Services and IT Consulting ,Class3,ArcGIS Server
dt_289,NICE,Mid-Senior level,15,IT Services and IT Consulting ,Class3,unknown
dt_290,Hilti India,Mid-Senior level,27,Retail ,Class4,Software Sales
dt_291,Enphase Energy,Mid-Senior level,16,Medical Device ,Class4,Electromechanics
dt_292,Curefit - house of cult,Associate,11,Advertising Services ,Class5,Sales Trainings
dt_293,Applied Materials,Mid-Senior level,8,IT Services and IT Consulting ,Class2,Statutory Accounting Principles (SAP)
dt_294,Atlas Copco Group,Mid-Senior level,25,Software Development ,Class1,Leadership
dt_295,LTIMindtree,Mid-Senior level,43,Airlines and Aviation ,Class2,unknown
dt_296,Tata Consultancy Services,Mid-Senior level,63,IT Services and IT Consulting ,Class2,Networking
dt_297,Wipro,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Full-Stack Development
dt_298,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microservices
dt_299,Nayara Energy,Entry level,40,IT Services and IT Consulting ,Class3,Security
dt_300,Syngenta,Mid-Senior level,40,Business Consulting and Services ,Class4,Pesticide
